eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Halesus_radiatus,HumanObservation,1,Caddisfly,Halesus radiatus,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Metallina_sp.,HumanObservation,1,Spider,Metallina sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Stilbia_anomala,HumanObservation,1,Anomalous moth,Stilbia anomala,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Xestia_xanthographa,HumanObservation,2,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Sierra_domestica_-_check_with_Evan,HumanObservation,1,Moth,Sierra domestica - check with Evan,Animalia,Arthropoda,Insecta,Lepidoptera,,species
SS_Moth_trap_2,South,North border? Woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_2_Ophion_sp.,HumanObservation,1,Ichneumonid wasp,Ophion sp.,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,genus
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Nephrotoma_appendiculata,HumanObservation,4,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Prosapia_bicincta,HumanObservation,2,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Auchenorrhyncha,HumanObservation,2,,Auchenorrhyncha,Animalia,Arthropoda,Insecta,Hemiptera,,suborder
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Xestia_xanthographa,HumanObservation,3,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_2,North,Centre woodland,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/12/2024,19:00,256,,Scotland,GB-SCT,Lochranza,,55.70502,-5.28172,WGS84,NS_Moth_trap_2_Trichoceridae_indet,HumanObservation,1,Winter crane fly,Trichoceridae indet,Animalia,Arthropoda,Insecta,Diptera,Trichoderidae,family
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
